Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Sub Vertical,City  Location,Investors Name,Investment Type,Amount in USD
1874,22-03-2016,byju's,Consumer Internet,Educational Video Content Creator,Bangalore,Sequoia India Sofina,Private Equity,75000000.0
1875,22-03-2016,BigBasket,E-commerce,Online Grocery Shop,Bangalore,Abraaj Group,Private Equity,150000000.0
1876,22-03-2016,DrivoJoy,Consumer Internet,On-demand 2-wheeler Servicing platform,Bangalore,Indian Angel Network Tracxn Labs & Others,Seed Funding,600000.0
1879,22-03-2016,CreditSeva,Consumer Internet,Online Credit management tools,Hyderabad,Pix Vine Capital Infocomm Development Authority of Singapore,Seed Funding,360000.0
1881,23-03-2016,Endless Robotics,Technology,Interior Painting Automation,Hyderabad,Devidas Desai Vipul Gautam Singapore Angel Network,Seed Funding,100000.0
1882,23-03-2016,SP Robotics,Technology,Robotic Classes for Students,Chennai,Indian Angel Network,Seed Funding,300000.0
1884,23-03-2016,eKincare,Consumer Internet,Healthcare related solutions,Hyderabad,BitChemy Ventures Maheshwari Investments Pvt Ltd Anshoo Gaur Rama Krishna Reddy Sandeep Seerapu,Private Equity,330000.0
1886,23-03-2016,Wheelstreet,Consumer Internet,Online Bike Rental platform,Bangalore,Broadbean Capital services,Private Equity,500000.0
1887,24-03-2016,Horntell,Consumer Internet,Unified Push Notification service,Gurgaon,Bharanidharan Viswanathan Sanjiv Mittal Shobhit Shukla Rahul Agarwal,Seed Funding,150000.0
1888,28-03-2016,Schoolkart,E-commerce,Online Marketplace for Schools,Noida,Undisclosed investors,Seed Funding,300000.0
1890,29-03-2016,Babygogo,Consumer Internet,Child healthcare experts aggregator mobile app,New Delhi,Rajul Garg Daljit Singh Aditya Vij Kishore Kumar Shuchin Bajaj,Seed Funding,300000.0
1891,29-03-2016,Veritas Finance,Finance,Asset Based Lending platform,Chennai,Sarva Capital,Private Equity,4700000.0
